Customer Number,Loan Reference,Loan Repaid Date,Loan Start Date
1000082812,300000867881,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000083021,300000851675,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000066869,300000730948,2017-07-16T00:00:00+03:00,2016-08-10T00:00:00+03:00
1000083131,300000849204,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000084992,300000873717,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000070133,300000714392,2017-07-16T00:00:00+03:00,2016-08-10T00:00:00+03:00
1000044981,300000886983,2017-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000000313,300000010611,2017-07-16T00:00:00+03:00,2016-07-17T00:00:00+03:00
1000073377,300000749862,2017-08-10T00:00:00+03:00,2016-08-10T00:00:00+03:00
1000069904,300000763978,2016-08-10T00:00:00+03:00,2016-08-10T00:00:00+03:00
1000062677,300000641263,2017-07-16T00:00:00+03:00,2016-08-09T00:00:00+03:00
1000087362,300000894722,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
