_id,Customer Number,Loan Reference,Loan Start Date,Loan Repaid Date
1000129043,1000129043,300000138140,20160811,20160811
1000129044,1000129044,300000138141,20160811,20160811
1000129045,1000129045,300000138142,20160811,20160811
1000129046,1000129046,300000138143,20160811,20160811
1000129047,1000129047,300000138144,20160811,20160811
1000129048,1000129048,300000138145,20160811,20160811
1000129049,1000129049,300000138146,20160811,20160811
1000129050,1000129050,300000138147,20160811,20160811
1000129051,1000129051,300000138148,20160811,20160811
1000129052,1000129052,300000138149,20160811,20160811
1000129053,1000129053,300000138150,20160811,20160811
1000129054,1000129054,300000138151,20160811,20160811
1000129055,1000129055,300000138152,20160811,20160811
1000129056,1000129056,300000138153,20160811,20160811
1000129057,1000129057,300000138154,20160811,20160811
1000129058,1000129058,300000138155,20160811,20160811
1000129059,1000129059,300000138156,20160811,20160811
1000129060,1000129060,300000138157,20160811,20160811
1000129061,1000129061,300000138158,20160811,20160811
1000129104,1000129104,300000138201,20160811,20160811
1000129105,1000129105,300000138202,20160811,20160811
1000129106,1000129106,300000138203,20160811,20160811
1000129107,1000129107,300000138204,20160811,20160811
1000129108,1000129108,300000138205,20160811,20160811
1000129109,1000129109,300000138206,20160811,20160811
1000129110,1000129110,300000138207,20160811,20160811
1000129111,1000129111,300000138208,20160811,20160811
1000129112,1000129112,300000138209,20160811,20160811
1000129113,1000129113,300000138210,20160811,20160811
1000129114,1000129114,300000138211,20160811,20160811
1000129115,1000129115,300000138212,20160811,20160811
1000129116,1000129116,300000138213,20160811,20160811
1000129117,1000129117,300000138214,20160811,20160811
1000129118,1000129118,300000138215,20160811,20160811
1000129119,1000129119,300000138216,20160811,20160811
1000129120,1000129120,300000138217,20160811,20160811
1000129121,1000129121,300000138218,20160811,20160811
1000129122,1000129122,300000138219,20160811,20160811
1000129123,1000129123,300000138220,20160811,20160811
1000129124,1000129124,300000138221,20160811,20160811
1000129125,1000129125,300000138222,20160811,20160811
1000129126,1000129126,300000138223,20160811,20160811
1000129127,1000129127,300000138224,20160811,20160811
1000129128,1000129128,300000138225,20160811,20160811
1000129129,1000129129,300000138226,20160811,20160811
1000129130,1000129130,300000138227,20160811,20160811
1000129131,1000129131,300000138228,20160811,20160811
1000129132,1000129132,300000138229,20160811,20160811
1000129133,1000129133,300000138230,20160811,20160811
1000129134,1000129134,300000138231,20160811,20160811
1000129135,1000129135,300000138232,20160811,20160811
1000129136,1000129136,300000138233,20160811,20160811
1000129137,1000129137,300000138234,20160811,20160811
1000129138,1000129138,300000138235,20160811,20160811
1000129139,1000129139,300000138236,20160811,20160811
1000129140,1000129140,300000138237,20160811,20160811
1000129141,1000129141,300000138238,20160811,20160811
1000129142,1000129142,300000138239,20160811,20160811
